"lat","long"
51.5141318,-0.1313876
51.5141318,-0.1313876
51.5141318,-0.1313876
51.5141318,-0.1313876
51.5061914,-0.135376
51.506721,-0.1231922
51.506721,-0.1231922
51.5114824,-0.1330534
51.5114824,-0.1330534
51.5114824,-0.1330534
51.5114824,-0.1330534
51.5114824,-0.1330534
51.5108597,-0.1270238
51.5108597,-0.1270238
51.5065595,-0.1224161
51.5065595,-0.1224161
51.5065595,-0.1224161
51.5082413,-0.1433289
51.5082413,-0.1433289
51.5082413,-0.1433289
51.5056123,-0.1368938
51.5056123,-0.1368938
51.5124507,-0.115746
51.5124906,-0.1159893
51.5124906,-0.1159893
51.5124906,-0.1159893
51.5124906,-0.1159893
51.5124906,-0.1159893
51.5124906,-0.1159893
51.5124906,-0.1159893
51.5124906,-0.1159893
51.4941029,-0.1466265
51.4941029,-0.1466265
51.5154444,-0.1951818
51.508593,-0.1337602
51.508593,-0.1337602
51.508593,-0.1337602
51.5124678,-0.1331262
51.5232396,-0.1504129
51.5232396,-0.1504129
51.5232396,-0.1504129
51.5232396,-0.1504129
51.5232396,-0.1504129
51.5232396,-0.1504129
51.5232396,-0.1504129
51.5194526,-0.156278
51.5194526,-0.156278
51.5194526,-0.156278
51.5194526,-0.156278
51.5194526,-0.156278
51.5194526,-0.156278
51.5194526,-0.156278
51.5073518,-0.1280092
51.5073518,-0.1280092
51.5073518,-0.1280092
51.5073518,-0.1280092
51.5073518,-0.1280092
51.5126376,-0.112827
51.5123231,-0.1910393
51.5105986,-0.1308323
51.5105986,-0.1308323
51.5105986,-0.1308323
51.5105986,-0.1308323
51.5105986,-0.1308323
51.5105986,-0.1308323
51.5105986,-0.1308323
51.5105986,-0.1308323
51.5105986,-0.1308323
51.5105986,-0.1308323
51.5105986,-0.1308323
51.5105986,-0.1308323
51.5105986,-0.1308323
51.5105986,-0.1308323
51.5105986,-0.1308323
51.5105986,-0.1308323
51.5105986,-0.1308323
51.5105986,-0.1308323
51.5105986,-0.1308323
51.5105986,-0.1308323
51.5105986,-0.1308323
51.5105986,-0.1308323
51.5105986,-0.1308323
51.5123302,-0.1329589
51.5123302,-0.1329589
51.5123302,-0.1329589
51.5123302,-0.1329589
51.5123302,-0.1329589
51.5123302,-0.1329589
51.5123302,-0.1329589
51.4933834,-0.1446252
51.4933834,-0.1446252
51.5177724,-0.1387179
51.5111941,-0.1361615
51.4984945,-0.1499112
51.4909474,-0.1342075
51.4909474,-0.1342075
51.5140021,-0.1317807
51.5060857,-0.1147406
51.5060857,-0.1147406
51.5111168,-0.1335539
51.5111168,-0.1335539
51.5111168,-0.1335539
51.5111168,-0.1335539
51.5111168,-0.1335539
51.5111168,-0.1335539
51.5111168,-0.1335539
51.5111168,-0.1335539
51.5111168,-0.1335539
51.5111168,-0.1335539
51.5111168,-0.1335539
51.5111168,-0.1335539
51.5111168,-0.1335539
51.5111168,-0.1335539
51.5111168,-0.1335539
51.5111168,-0.1335539
51.5202107,-0.2033968
51.5202107,-0.2033968
51.5202107,-0.2033968
51.4997527,-0.1261763
51.5146456,-0.1331909
51.532788,-0.1781019
51.532788,-0.1781019
51.5084295,-0.1512616
51.4967531,-0.1391802
51.5096957,-0.1233968
51.4915281,-0.1488629
51.5117516,-0.1293796
51.5117516,-0.1293796
51.5117516,-0.1293796
51.5117516,-0.1293796
51.5117516,-0.1293796
51.5116095,-0.1345737
51.5110171,-0.1149549
51.5110171,-0.1149549
51.4960604,-0.1447318
51.4960604,-0.1447318
51.4960604,-0.1447318
51.4960604,-0.1447318
51.4960604,-0.1447318
51.5137447,-0.1524299
51.5144629,-0.1776517
51.5144629,-0.1776517
51.5162459,-0.1423526
51.5162459,-0.1423526
51.5162459,-0.1423526
51.5162459,-0.1423526
51.5162459,-0.1423526
51.5162459,-0.1423526
51.5162459,-0.1423526
51.5162459,-0.1423526
51.5162459,-0.1423526
51.5162459,-0.1423526
51.5162459,-0.1423526
51.5162459,-0.1423526
51.5162459,-0.1423526
51.5162459,-0.1423526
51.5162459,-0.1423526
51.5162459,-0.1423526
51.5162459,-0.1423526
51.5162459,-0.1423526
51.5162459,-0.1423526
51.5162459,-0.1423526
51.5162459,-0.1423526
51.5162459,-0.1423526
51.5162459,-0.1423526
51.5138195,-0.161298
51.5084028,-0.1421695
51.5084028,-0.1421695
51.4983377,-0.1311673
51.4983377,-0.1311673
51.5110312,-0.12706
51.5102973,-0.1322928
51.5101053,-0.1334536
51.5101053,-0.1334536
51.5101053,-0.1334536
51.5101053,-0.1334536
51.5101053,-0.1334536
51.5101053,-0.1334536
51.5142301,-0.1507095
51.5160653,-0.134641
51.4969802,-0.1256626
51.5148256,-0.137195
51.5085785,-0.1362395
51.5085785,-0.1362395
51.5096844,-0.1328365
51.5096844,-0.1328365
51.5096844,-0.1328365
51.5096844,-0.1328365
51.5096844,-0.1328365
51.5096844,-0.1328365
51.5096844,-0.1328365
51.5096844,-0.1328365
51.503913,-0.1397441
51.5026729,-0.1386707
51.5098401,-0.131879
51.5098401,-0.131879
51.5098401,-0.131879
51.5112079,-0.1313763
51.5112079,-0.1313763
51.5112079,-0.1313763
51.5112079,-0.1313763
51.5141861,-0.135434
51.5141861,-0.135434
51.514253,-0.1436176
51.5196256,-0.1455756
51.5141752,-0.1490951
51.5122737,-0.1220946
51.507446,-0.1374891
51.5112235,-0.1284068
51.5112235,-0.1284068
51.5111371,-0.1291886
51.5111371,-0.1291886
51.5122009,-0.1248502
51.5126553,-0.1212141
51.5108998,-0.1284057
51.5234567,-0.1725209
51.5234567,-0.1725209
51.5092523,-0.133373
51.5092523,-0.133373
51.5092523,-0.133373
51.5092523,-0.133373
51.5092523,-0.133373
51.5092523,-0.133373
51.5092523,-0.133373
51.5147428,-0.1644529
51.5103707,-0.1352728
51.5103865,-0.1382435
51.5102677,-0.1389807
51.5099454,-0.1232712
51.5099454,-0.1232712
51.5099454,-0.1232712
51.5097206,-0.1300249
51.508941,-0.1234422
51.5119582,-0.1254223
51.5119582,-0.1254223
51.5091421,-0.1258982
51.5091421,-0.1258982
51.5091421,-0.1258982
51.5091421,-0.1258982
51.5091421,-0.1258982
51.5091421,-0.1258982
51.5091421,-0.1258982
51.5091421,-0.1258982
51.5091421,-0.1258982
51.5091421,-0.1258982
51.5091421,-0.1258982
51.5091421,-0.1258982
51.5091421,-0.1258982
51.5091421,-0.1258982
51.5091421,-0.1258982
51.5091421,-0.1258982
51.5091421,-0.1258982
51.5091421,-0.1258982
51.5091421,-0.1258982
51.508161,-0.1297861
51.508161,-0.1297861
51.508161,-0.1297861
51.508161,-0.1297861
51.508161,-0.1297861
51.508161,-0.1297861
51.508161,-0.1297861
51.508161,-0.1297861
51.508161,-0.1297861
51.508161,-0.1297861
51.508161,-0.1297861
51.508161,-0.1297861
51.508161,-0.1297861
51.508161,-0.1297861
51.5095038,-0.1307958
51.5092523,-0.133373
51.5092523,-0.133373
51.5076645,-0.1311446
51.5117964,-0.1271151
51.5117964,-0.1271151
51.5330405,-0.1694839
51.5096957,-0.1233968
51.5096957,-0.1233968
51.5096957,-0.1233968
51.5096957,-0.1233968
51.5107517,-0.1339844
51.5107517,-0.1339844
51.5196425,-0.1552036
51.4913938,-0.1348815
51.4913938,-0.1348815
51.5190999,-0.1584399
51.5190999,-0.1584399
51.5190999,-0.1584399
51.4925203,-0.1477711
51.5132802,-0.1338857
51.5077808,-0.1427905
51.5077808,-0.1427905
51.5108597,-0.1270238
51.510225,-0.1221933
51.510225,-0.1221933
51.510225,-0.1221933
51.510225,-0.1221933
51.510225,-0.1221933
51.510225,-0.1221933
51.510225,-0.1221933
51.510225,-0.1221933
51.510225,-0.1221933
51.510225,-0.1221933
51.5106765,-0.1290634
51.5106765,-0.1290634
51.5106765,-0.1290634
51.5214675,-0.1712456
51.5101007,-0.1488881
51.5117929,-0.1324397
51.5276045,-0.2158932
51.5265302,-0.2079486
51.5265302,-0.2079486
51.5265302,-0.2079486
51.5265302,-0.2079486
51.5265302,-0.2079486
51.5265302,-0.2079486
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
51.525485,-0.1914112
51.525485,-0.1914112
51.525485,-0.1914112
51.525485,-0.1914112
51.5157997,-0.1521593
51.5157997,-0.1521593
51.5157997,-0.1521593
51.4950203,-0.1426527
51.4950203,-0.1426527
51.5174511,-0.1553787
51.5122969,-0.144461
51.5240363,-0.1595525
51.5100984,-0.134549
51.5100984,-0.134549
51.5100984,-0.134549
51.5100984,-0.134549
51.5100984,-0.134549
51.5100984,-0.134549
51.5100984,-0.134549
51.5100984,-0.134549
51.5100984,-0.134549
51.5100984,-0.134549
51.5100984,-0.134549
51.531044,-0.1671707
51.531044,-0.1671707
51.531044,-0.1671707
51.531044,-0.1671707
51.506317,-0.1523064
51.506317,-0.1523064
51.506317,-0.1523064
51.5148285,-0.1339809
51.4954247,-0.1318781
51.4954247,-0.1318781
51.5129802,-0.1336817
51.5115352,-0.1304694
51.5115352,-0.1304694
51.5115352,-0.1304694
51.5115352,-0.1304694
51.5115352,-0.1304694
51.5115352,-0.1304694
51.5155879,-0.1952263
51.5159145,-0.1400765
51.5159145,-0.1400765
51.5243256,-0.1613716
51.5137359,-0.1325699
51.5083979,-0.1243436
51.5083979,-0.1243436
51.5215502,-0.1928357
51.5138681,-0.1351638
51.5116018,-0.1568401
51.5031092,-0.1497623
51.5031092,-0.1497623
51.5031092,-0.1497623
51.5031092,-0.1497623
51.5031092,-0.1497623
51.5031092,-0.1497623
51.5031092,-0.1497623
51.5031092,-0.1497623
51.5031092,-0.1497623
51.5031092,-0.1497623
51.5031092,-0.1497623
51.5031092,-0.1497623
51.5031092,-0.1497623
51.5031092,-0.1497623
51.5031092,-0.1497623
51.5031092,-0.1497623
51.5031092,-0.1497623
51.5031092,-0.1497623
51.5031092,-0.1497623
51.5031092,-0.1497623
51.5031092,-0.1497623
51.5031092,-0.1497623
51.5031092,-0.1497623
51.5031092,-0.1497623
51.5159583,-0.1749476
51.5159583,-0.1749476
51.5159583,-0.1749476
51.5159583,-0.1749476
51.5343796,-0.1705837
51.5207211,-0.1580285
51.5207211,-0.1580285
51.5229529,-0.2010112
